election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,ALG,1,#a74c97,1,3160,,,Engel,Livia,1002,False,ALG,#a74c97,female,1998,858,,136,57,78,41,39,671
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,ALG,1,#a74c97,1,3160,,,Franzini,Konradin,1004,False,ALG,#a74c97,male,1998,416,,136,57,78,41,39,671
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,ALG,1,#a74c97,1,3160,,,Gasser,Patricia,1003,False,ALG,#a74c97,female,1987,405,,136,57,78,41,39,671
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,ALG,1,#a74c97,1,3160,,,Itin,Nerina,1005,False,ALG,#a74c97,female,1994,411,,136,57,78,41,39,671
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,ALG,1,#a74c97,1,3160,,,Schriber-Neiger,Hanni,1001,True,ALG,#a74c97,female,1959,945,,136,57,78,41,39,671
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,Die Mitte,3,#ff6300,2,3962,,,Balmer,Kurt,3001,True,Die Mitte,#ff6300,male,1962,1191,83,,238,66,23,128,869
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,Die Mitte,3,#ff6300,2,3962,,,Battiston,Gabriele Angelo,3004,False,Die Mitte,#ff6300,male,2003,527,83,,238,66,23,128,869
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,Die Mitte,3,#ff6300,2,3962,,,Ebneter,Matthias,3005,False,Die Mitte,#ff6300,male,1973,459,83,,238,66,23,128,869
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,Die Mitte,3,#ff6300,2,3962,,,Gunkel,Kim,3003,False,Die Mitte,#ff6300,female,1987,418,83,,238,66,23,128,869
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,Die Mitte,3,#ff6300,2,3962,,,Wiederkehr,Roger,3002,True,Die Mitte,#ff6300,male,1966,1177,83,,238,66,23,128,869
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,FDP,5,#4068c8,1,3358,,,Desiere,Nadine,5004,False,FDP,#4068c8,female,1978,385,36,173,,50,1,117,637
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,FDP,5,#4068c8,1,3358,,,Gassmann,Urs,5003,False,FDP,#4068c8,male,1975,762,36,173,,50,1,117,637
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,FDP,5,#4068c8,1,3358,,,Ruf,Jürg,5002,False,FDP,#4068c8,male,1960,920,36,173,,50,1,117,637
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,FDP,5,#4068c8,1,3358,,,Zimmermann,Helene,5001,True,FDP,#4068c8,female,1966,1166,36,173,,50,1,117,637
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,GLP,6,#aeca00,1,1014,,,Jacobi,Nils,6002,False,GLP,#aeca00,male,2001,291,28,44,35,,7,14,296
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,GLP,6,#aeca00,1,1014,,,Rüegger,Bernhard Felix,6001,False,GLP,#aeca00,male,1948,238,28,44,35,,7,14,296
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,GLP,6,#aeca00,1,1014,,,Schloesing,Ariel,6004,False,GLP,#aeca00,male,1951,85,28,44,35,,7,14,296
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,GLP,6,#aeca00,1,1014,,,Vogel,Reto,6003,True,GLP,#aeca00,male,1986,371,28,44,35,,7,14,296
Kantonsratswahl 2022 Gde Risch,,,,2022-10-02,municipality,proporz,7,,final,,,Risch,1707,True,6616,,2437,9,42,51,2386,584,0,16118,SP,7,#db3c27,0,600,,,Klaric,Ivo,7002,False,SP,#db3c27,male,1988,111,37,29,8,15,,18,210
