Datum,Energietraeger,Produktion_GWh
2014-01-01,Flusskraft,26.0
2014-01-01,Kernkraft,80.1
2014-01-01,Speicherkraft,23.1
2014-01-01,Thermische,10.3
2014-01-02,Flusskraft,26.0
2014-01-02,Kernkraft,80.1
2014-01-02,Speicherkraft,26.1
2014-01-02,Thermische,10.3
2014-01-03,Flusskraft,26.8
2014-01-03,Kernkraft,80.1
2014-01-03,Speicherkraft,28.0
2014-01-03,Thermische,10.3
2014-01-04,Flusskraft,31.6
2014-01-04,Kernkraft,80.1
2014-01-04,Speicherkraft,21.6
2014-01-04,Thermische,10.3
2014-01-05,Flusskraft,33.5
2014-01-05,Kernkraft,80.0
2014-01-05,Speicherkraft,18.5
2014-01-05,Thermische,10.3
2014-01-06,Flusskraft,31.2
2014-01-06,Kernkraft,80.1
2014-01-06,Speicherkraft,28.3
2014-01-06,Thermische,10.3
2014-01-07,Flusskraft,32.6
2014-01-07,Kernkraft,80.0
2014-01-07,Speicherkraft,47.4
2014-01-07,Thermische,10.3
2014-01-08,Flusskraft,32.1
2014-01-08,Kernkraft,79.9
2014-01-08,Speicherkraft,49.9
2014-01-08,Thermische,10.3
2014-01-09,Flusskraft,31.0
2014-01-09,Kernkraft,79.5
2014-01-09,Speicherkraft,44.0
2014-01-09,Thermische,10.3
2014-01-10,Flusskraft,32.8
2014-01-10,Kernkraft,80.0
2014-01-10,Speicherkraft,50.8
2014-01-10,Thermische,10.3
2014-01-11,Flusskraft,30.0
2014-01-11,Kernkraft,80.0
2014-01-11,Speicherkraft,25.5
2014-01-11,Thermische,10.3
2014-01-12,Flusskraft,28.3
2014-01-12,Kernkraft,80.0
2014-01-12,Speicherkraft,22.6
2014-01-12,Thermische,10.3
2014-01-13,Flusskraft,29.4
2014-01-13,Kernkraft,80.0
2014-01-13,Speicherkraft,51.8
2014-01-13,Thermische,10.3
2014-01-14,Flusskraft,31.8
2014-01-14,Kernkraft,80.0
2014-01-14,Speicherkraft,60.0
2014-01-14,Thermische,10.3
2014-01-15,Flusskraft,31.2
2014-01-15,Kernkraft,80.1
2014-01-15,Speicherkraft,59.6
2014-01-15,Thermische,10.3
2014-01-16,Flusskraft,30.9
2014-01-16,Kernkraft,80.0
2014-01-16,Speicherkraft,58.0
2014-01-16,Thermische,10.3
2014-01-17,Flusskraft,32.7
2014-01-17,Kernkraft,80.0
2014-01-17,Speicherkraft,58.0
2014-01-17,Thermische,10.3
2014-01-18,Flusskraft,30.8
2014-01-18,Kernkraft,80.1
2014-01-18,Speicherkraft,39.2
2014-01-18,Thermische,10.3
2014-01-19,Flusskraft,30.3
2014-01-19,Kernkraft,80.0
2014-01-19,Speicherkraft,26.3
2014-01-19,Thermische,10.3
2014-01-20,Flusskraft,35.0
2014-01-20,Kernkraft,80.0
2014-01-20,Speicherkraft,69.5
2014-01-20,Thermische,10.3
2014-01-21,Flusskraft,34.0
2014-01-21,Kernkraft,80.1
2014-01-21,Speicherkraft,66.6
2014-01-21,Thermische,10.3
2014-01-22,Flusskraft,32.0
2014-01-22,Kernkraft,80.0
2014-01-22,Speicherkraft,57.1
2014-01-22,Thermische,10.3
2014-01-23,Flusskraft,32.4
2014-01-23,Kernkraft,80.1
2014-01-23,Speicherkraft,67.3
2014-01-23,Thermische,10.3
2014-01-24,Flusskraft,31.7
2014-01-24,Kernkraft,80.1
2014-01-24,Speicherkraft,62.0
2014-01-24,Thermische,10.3
2014-01-25,Flusskraft,25.2
2014-01-25,Kernkraft,80.1
2014-01-25,Speicherkraft,30.3
2014-01-25,Thermische,10.3
2014-01-26,Flusskraft,24.1
2014-01-26,Kernkraft,80.1
2014-01-26,Speicherkraft,25.8
2014-01-26,Thermische,10.3
2014-01-27,Flusskraft,29.1
2014-01-27,Kernkraft,80.0
2014-01-27,Speicherkraft,63.0
2014-01-27,Thermische,10.3
2014-01-28,Flusskraft,31.1
2014-01-28,Kernkraft,71.4
2014-01-28,Speicherkraft,68.6
2014-01-28,Thermische,10.3
2014-01-29,Flusskraft,31.1
2014-01-29,Kernkraft,80.2
2014-01-29,Speicherkraft,70.5
2014-01-29,Thermische,10.3
2014-01-30,Flusskraft,30.7
2014-01-30,Kernkraft,80.1
2014-01-30,Speicherkraft,71.4
2014-01-30,Thermische,10.3
2014-01-31,Flusskraft,28.6
2014-01-31,Kernkraft,80.0
2014-01-31,Speicherkraft,65.8
2014-01-31,Thermische,10.3
2014-02-01,Flusskraft,24.5
2014-02-01,Kernkraft,79.9
2014-02-01,Speicherkraft,38.0
2014-02-01,Thermische,10.8
2014-02-02,Flusskraft,23.9
2014-02-02,Kernkraft,79.9
2014-02-02,Speicherkraft,31.5
2014-02-02,Thermische,10.8
2014-02-03,Flusskraft,26.9
2014-02-03,Kernkraft,79.9
2014-02-03,Speicherkraft,73.7
2014-02-03,Thermische,10.8
2014-02-04,Flusskraft,28.7
2014-02-04,Kernkraft,80.0
2014-02-04,Speicherkraft,70.9
2014-02-04,Thermische,10.8
2014-02-05,Flusskraft,28.6
2014-02-05,Kernkraft,79.9
2014-02-05,Speicherkraft,78.8
2014-02-05,Thermische,10.8
2014-02-06,Flusskraft,26.5
2014-02-06,Kernkraft,79.8
2014-02-06,Speicherkraft,56.5
2014-02-06,Thermische,10.8
2014-02-07,Flusskraft,28.7
2014-02-07,Kernkraft,79.8
2014-02-07,Speicherkraft,66.7
2014-02-07,Thermische,10.8
2014-02-08,Flusskraft,24.6
2014-02-08,Kernkraft,79.8
2014-02-08,Speicherkraft,34.8
2014-02-08,Thermische,10.8
2014-02-09,Flusskraft,24.5
2014-02-09,Kernkraft,79.8
2014-02-09,Speicherkraft,33.4
2014-02-09,Thermische,10.8
2014-02-10,Flusskraft,29.8
2014-02-10,Kernkraft,79.9
2014-02-10,Speicherkraft,73.8
2014-02-10,Thermische,10.8
2014-02-11,Flusskraft,31.2
2014-02-11,Kernkraft,79.9
2014-02-11,Speicherkraft,76.8
2014-02-11,Thermische,10.8
2014-02-12,Flusskraft,31.7
2014-02-12,Kernkraft,79.9
2014-02-12,Speicherkraft,64.6
2014-02-12,Thermische,10.8
2014-02-13,Flusskraft,32.8
2014-02-13,Kernkraft,79.7
2014-02-13,Speicherkraft,73.7
2014-02-13,Thermische,10.8
2014-02-14,Flusskraft,33.3
2014-02-14,Kernkraft,79.9
2014-02-14,Speicherkraft,68.7
2014-02-14,Thermische,10.8
2014-02-15,Flusskraft,28.1
2014-02-15,Kernkraft,79.8
2014-02-15,Speicherkraft,33.8
2014-02-15,Thermische,10.8
2014-02-16,Flusskraft,29.7
2014-02-16,Kernkraft,79.9
2014-02-16,Speicherkraft,23.3
2014-02-16,Thermische,10.8
2014-02-17,Flusskraft,31.8
2014-02-17,Kernkraft,79.9
2014-02-17,Speicherkraft,64.6
2014-02-17,Thermische,10.8
2014-02-18,Flusskraft,32.4
2014-02-18,Kernkraft,79.9
2014-02-18,Speicherkraft,70.6
2014-02-18,Thermische,10.8
2014-02-19,Flusskraft,32.9
2014-02-19,Kernkraft,79.9
2014-02-19,Speicherkraft,66.9
2014-02-19,Thermische,10.8
2014-02-20,Flusskraft,30.4
2014-02-20,Kernkraft,79.8
2014-02-20,Speicherkraft,54.8
2014-02-20,Thermische,10.8
2014-02-21,Flusskraft,30.6
2014-02-21,Kernkraft,79.9
2014-02-21,Speicherkraft,56.7
2014-02-21,Thermische,10.8
2014-02-22,Flusskraft,28.0
2014-02-22,Kernkraft,78.1
2014-02-22,Speicherkraft,37.0
2014-02-22,Thermische,10.8
2014-02-23,Flusskraft,25.7
2014-02-23,Kernkraft,79.8
2014-02-23,Speicherkraft,25.7
2014-02-23,Thermische,10.8
2014-02-24,Flusskraft,28.4
2014-02-24,Kernkraft,79.8
2014-02-24,Speicherkraft,58.8
2014-02-24,Thermische,10.8
2014-02-25,Flusskraft,29.9
2014-02-25,Kernkraft,79.8
2014-02-25,Speicherkraft,59.4
2014-02-25,Thermische,10.8
2014-02-26,Flusskraft,31.6
2014-02-26,Kernkraft,79.8
2014-02-26,Speicherkraft,76.2
2014-02-26,Thermische,10.8
2014-02-27,Flusskraft,31.6
2014-02-27,Kernkraft,79.8
2014-02-27,Speicherkraft,67.0
2014-02-27,Thermische,10.8
2014-02-28,Flusskraft,32.1
2014-02-28,Kernkraft,79.8
2014-02-28,Speicherkraft,70.9
2014-02-28,Thermische,10.8
2014-03-01,Flusskraft,27.3
2014-03-01,Kernkraft,79.9
2014-03-01,Speicherkraft,44.4
2014-03-01,Thermische,10.8
2014-03-02,Flusskraft,24.5
2014-03-02,Kernkraft,79.9
2014-03-02,Speicherkraft,28.7
2014-03-02,Thermische,10.8
2014-03-03,Flusskraft,28.3
2014-03-03,Kernkraft,79.8
2014-03-03,Speicherkraft,72.2
2014-03-03,Thermische,10.8
2014-03-04,Flusskraft,30.6
2014-03-04,Kernkraft,79.9
2014-03-04,Speicherkraft,83.4
2014-03-04,Thermische,10.8
2014-03-05,Flusskraft,29.6
2014-03-05,Kernkraft,79.8
2014-03-05,Speicherkraft,71.6
2014-03-05,Thermische,10.8
2014-03-06,Flusskraft,28.0
2014-03-06,Kernkraft,79.8
