election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,ALG,1,#a74c97,1,5478,,,Haas,Esther,1001,True,ALG,#a74c97,female,1956,1600,,254,69,166,353,55,929
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,ALG,1,#a74c97,1,5478,,,Hänel,Anne,1002,False,ALG,#a74c97,female,1978,960,,254,69,166,353,55,929
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,ALG,1,#a74c97,1,5478,,,Heim,Linus,1003,False,ALG,#a74c97,male,2003,836,,254,69,166,353,55,929
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,ALG,1,#a74c97,1,5478,,,Möri,Frederic,1004,False,ALG,#a74c97,male,1997,756,,254,69,166,353,55,929
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,ALG,1,#a74c97,1,5478,,,Rigert,Fabienne,1005,False,ALG,#a74c97,female,1999,799,,254,69,166,353,55,929
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,ALG,1,#a74c97,1,5478,,,Steinmann,Vera,1006,False,ALG,#a74c97,female,2001,375,,254,69,166,353,55,929
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,Die Mitte,3,#ff6300,3,10915,,,Camenzind,Daniel,3003,False,Die Mitte,#ff6300,male,1967,589,210,,477,231,257,612,1629
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,Die Mitte,3,#ff6300,3,10915,,,Grob,Erich,3004,True,Die Mitte,#ff6300,male,1971,1167,210,,477,231,257,612,1629
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,Die Mitte,3,#ff6300,3,10915,,,Hübscher,Reto,3005,False,Die Mitte,#ff6300,male,1975,831,210,,477,231,257,612,1629
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,Die Mitte,3,#ff6300,3,10915,,,Käch,Manuela,3002,True,Die Mitte,#ff6300,female,1975,1430,210,,477,231,257,612,1629
Kantonsratswahl 2022 Gde Cham,,,,2022-10-02,municipality,proporz,11,,final,,,Cham,1702,True,10186,,3939,11,0,11,3928,2170,0,41038,Die Mitte,3,#ff6300,3,10915,,,Kalt,Adrian,3006,False,Die Mitte,#ff6300,male,1967,751,210,,477,231,257,612,1629
