election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_4,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,ALG,1,#a74c97,1,1909,,,Affentranger,Martin,1002,False,ALG,#a74c97,male,1976,361,,185,25,58,51,57,54,312
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,ALG,1,#a74c97,1,1909,,,Buchmann,Viola,1004,False,ALG,#a74c97,female,1981,294,,185,25,58,51,57,54,312
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,ALG,1,#a74c97,1,1909,,,Hofer,Rita,1001,True,ALG,#a74c97,female,1963,1001,,185,25,58,51,57,54,312
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,ALG,1,#a74c97,1,1909,,,Planzer,Reto,1003,False,ALG,#a74c97,male,1984,235,,185,25,58,51,57,54,312
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,Die Mitte,3,#ff6300,2,3816,,,Achermann,Heinz,3002,True,Die Mitte,#ff6300,male,1962,958,148,,50,257,80,66,134,561
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,Die Mitte,3,#ff6300,2,3816,,,Beck,Konstantin,3004,False,Die Mitte,#ff6300,male,1962,371,148,,50,257,80,66,134,561
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,Die Mitte,3,#ff6300,2,3816,,,Bieri,Anna,3001,True,Die Mitte,#ff6300,female,1985,1437,148,,50,257,80,66,134,561
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,Die Mitte,3,#ff6300,2,3816,,,Werder,Regula,3003,False,Die Mitte,#ff6300,female,1983,474,148,,50,257,80,66,134,561
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,Die Mitte,3,#ff6300,2,3816,,,Zimmermann,Anita,3005,False,Die Mitte,#ff6300,female,1973,477,148,,50,257,80,66,134,561
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,EVP,4,#F8DA00,0,130,,,Toggenburger,Werner,4001,False,EVP,#F8DA00,male,1958,95,9,4,,5,4,3,4,22
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,FDP,5,#4068c8,1,2996,,,Brun,Gian,5002,False,FDP,#4068c8,male,1998,1154,31,276,15,,53,16,90,365
Kantonsratswahl 2022 Gde Hünenberg,,,,2022-10-02,municipality,proporz,5,,final,,,Hünenberg,1703,True,5914,,2717,5,57,62,2655,187,0,13088,FDP,5,#4068c8,1,2996,,,Maurenbrecher,Eva,5001,True,FDP,#4068c8,female,1961,1257,31,276,15,,53,16,90,365
