,month,year,locations_CH_count
0,11,2020,2484
1,12,2020,2542
2,1,2021,2640
3,2,2021,2744
4,3,2021,2801
5,4,2021,2842
6,5,2021,2887
7,6,2021,2947
8,8,2021,3044
9,9,2021,3070
10,10,2021,3109
11,11,2021,3139
12,12,2021,3162
13,1,2022,3339
14,2,2022,3358
15,3,2022,3380
16,4,2022,3569
17,5,2022,3783
18,6,2022,3868
19,7,2022,3988
20,8,2022,4094
21,9,2022,4106
22,10,2022,4167
23,11,2022,4260
24,12,2022,4356
25,1,2023,4368
26,2,2023,4446
27,3,2023,4423
28,4,2023,5050
29,5,2023,5172
30,6,2023,5330
31,7,2023,5486
