,month,year,stations_CH_count
0,11,2020,5095
1,12,2020,5250
2,1,2021,5507
3,2,2021,5713
4,3,2021,5825
5,4,2021,5946
6,5,2021,5979
7,6,2021,6089
8,8,2021,6256
9,9,2021,6319
10,10,2021,6411
11,11,2021,6480
12,12,2021,6605
13,1,2022,7148
14,2,2022,7204
15,3,2022,7256
16,4,2022,7548
17,5,2022,7896
18,6,2022,8059
19,7,2022,8303
20,8,2022,8588
21,9,2022,8540
22,10,2022,8648
23,11,2022,8897
24,12,2022,9152
25,1,2023,9132
26,2,2023,9243
27,3,2023,9816
28,4,2023,10768
29,5,2023,10963
30,6,2023,11311
31,7,2023,11675
