Datum,Landesverbrauch_geschaetzt_SG_GWh
2023-07-01,185
2023-07-02,180
2023-07-03,194
2023-07-04,174
2023-07-05,185
2023-07-06,169
2023-07-07,178
2023-07-08,163
2023-07-09,152
2023-07-10,166
2023-07-11,173
2023-07-12,179
2023-07-13,179
2023-07-14,175
2023-07-15,183
2023-07-16,172
2023-07-17,170
2023-07-18,166
2023-07-19,164
2023-07-20,167
2023-07-21,157
2023-07-22,160
2023-07-23,175
2023-07-24,163
2023-07-25,161
2023-07-26,167
2023-07-27,155
2023-07-28,152
2023-07-29,145
2023-07-30,167
2023-07-31,159
2023-08-01,123
2023-08-02,167
2023-08-03,157
2023-08-04,154
2023-08-05,153
2023-08-06,159
2023-08-07,166
2023-08-08,163
2023-08-09,159
2023-08-10,159
2023-08-11,159
2023-08-12,157
2023-08-13,162
2023-08-14,170
2023-08-15,158
2023-08-16,162
2023-08-17,161
2023-08-18,160
2023-08-19,156
2023-08-20,163
2023-08-21,170
2023-08-22,167
2023-08-23,163
2023-08-24,163
2023-08-25,162
2023-08-26,158
2023-08-27,165
2023-08-28,173
2023-08-29,170
2023-08-30,166
2023-08-31,166
2023-09-01,164
2023-09-02,156
2023-09-03,161
2023-09-04,169
2023-09-05,173
2023-09-06,174
2023-09-07,177
2023-09-08,173
2023-09-09,159
2023-09-10,169
2023-09-11,177
2023-09-12,176
2023-09-13,176
2023-09-14,180
2023-09-15,176
2023-09-16,161
2023-09-17,169
2023-09-18,179
2023-09-19,178
2023-09-20,179
2023-09-21,182
2023-09-22,178
2023-09-23,163
2023-09-24,172
2023-09-25,181
2023-09-26,180
2023-09-27,180
2023-09-28,183
2023-09-29,179
2023-09-30,165
2023-10-01,180
2023-10-02,189
2023-10-03,185
2023-10-04,186
2023-10-05,183
2023-10-06,180
2023-10-07,173
2023-10-08,176
2023-10-09,191
2023-10-10,188
2023-10-11,189
2023-10-12,186
2023-10-13,183
2023-10-14,176
2023-10-15,179
2023-10-16,194
2023-10-17,191
2023-10-18,192
2023-10-19,189
2023-10-20,186
2023-10-21,179
2023-10-22,183
2023-10-23,198
2023-10-24,194
2023-10-25,195
2023-10-26,192
2023-10-27,189
2023-10-28,182
2023-10-29,186
2023-10-30,198
2023-10-31,200
2023-11-01,182
2023-11-02,195
