Datum,Landesverbrauch_GWh,Endverbrauch_GWh
2021-12-22,210,196
2021-12-23,200,183
2021-12-24,205,165
2021-12-25,192,148
2021-12-26,192,145
2021-12-27,186,161
2021-12-28,185,159
2021-12-29,183,158
2021-12-30,178,150
2021-12-31,177,148
2022-01-01,174,140
2022-01-02,174,142
2022-01-03,187,164
2022-01-04,189,166
2022-01-05,204,182
2022-01-06,204,187
2022-01-07,210,191
2022-01-08,193,169
2022-01-09,198,160
2022-01-10,218,192
2022-01-11,221,197
2022-01-12,225,201
2022-01-13,225,203
2022-01-14,216,199
2022-01-15,195,177
2022-01-16,193,166
2022-01-17,209,192
2022-01-18,215,196
2022-01-19,215,196
2022-01-20,218,198
2022-01-21,218,198
2022-01-22,198,176
2022-01-23,196,166
2022-01-24,213,195
2022-01-25,211,196
2022-01-26,212,198
2022-01-27,212,198
2022-01-28,209,192
2022-01-29,193,168
2022-01-30,188,156
2022-01-31,214,193
2022-02-01,222,197
2022-02-02,217,191
2022-02-03,211,187
2022-02-04,204,186
2022-02-05,191,165
2022-02-06,189,159
2022-02-07,211,187
2022-02-08,214,189
2022-02-09,209,188
2022-02-10,205,183
2022-02-11,202,185
2022-02-12,193,169
2022-02-13,192,157
2022-02-14,210,187
2022-02-15,207,189
2022-02-16,210,190
2022-02-17,207,179
2022-02-18,197,176
2022-02-19,187,160
2022-02-20,183,148
2022-02-21,209,183
2022-02-22,202,182
2022-02-23,199,178
2022-02-24,200,179
2022-02-25,194,181
2022-02-26,188,163
2022-02-27,190,156
2022-02-28,200,182
2022-03-01,197,184
2022-03-02,193,183
2022-03-03,186,176
2022-03-04,190,179
2022-03-05,176,163
2022-03-06,182,155
2022-03-07,198,183
2022-03-08,201,186
2022-03-09,202,183
2022-03-10,194,179
2022-03-11,191,176
2022-03-12,175,153
2022-03-13,171,143
2022-03-14,188,168
2022-03-15,193,176
2022-03-16,185,171
2022-03-17,184,169
2022-03-18,190,173
2022-03-19,177,150
2022-03-20,173,139
2022-03-21,192,167
2022-03-22,194,169
2022-03-23,188,168
2022-03-24,180,164
2022-03-25,178,162
2022-03-26,167,140
2022-03-27,163,129
2022-03-28,182,158
2022-03-29,174,161
2022-03-30,180,166
2022-03-31,187,171
2022-04-01,197,183
2022-04-02,182,167
2022-04-03,180,157
2022-04-04,190,177
2022-04-05,191,174
2022-04-06,189,166
2022-04-07,193,170
2022-04-08,184,169
2022-04-09,173,151
2022-04-10,165,139
2022-04-11,193,162
2022-04-12,177,157
2022-04-13,167,153
2022-04-14,163,145
2022-04-15,143,119
2022-04-16,161,122
2022-04-17,158,116
2022-04-18,149,121
2022-04-19,165,147
2022-04-20,164,151
2022-04-21,163,151
2022-04-22,165,150
2022-04-23,163,133
2022-04-24,161,129
2022-04-25,177,159
2022-04-26,176,160
2022-04-27,176,155
2022-04-28,172,153
2022-04-29,168,150
2022-04-30,163,133
2022-05-01,155,123
2022-05-02,170,149
2022-05-03,167,153
2022-05-04,165,154
2022-05-05,170,160
2022-05-06,169,159
2022-05-07,151,131
2022-05-08,158,121
2022-05-09,163,148
2022-05-10,161,146
2022-05-11,169,146
2022-05-12,167,147
2022-05-13,168,147
2022-05-14,162,122
2022-05-15,160,113
