Datum,Endverbrauch_Prognose_Min_GWh,Endverbrauch_Prognose_Mittel_GWh,Endverbrauch_Prognose_Max_GWh
2022-09-01,141,150,160
2022-09-02,139,148,158
2022-09-03,118,127,136
2022-09-04,109,118,127
2022-09-05,140,149,158
2022-09-06,142,152,161
2022-09-07,143,152,161
2022-09-08,141,151,160
2022-09-09,140,149,158
2022-09-10,118,128,137
2022-09-11,109,118,127
2022-09-12,139,149,158
2022-09-13,143,152,161
2022-09-14,143,152,161
2022-09-15,141,150,160
2022-09-16,139,149,158
2022-09-17,118,127,137
2022-09-18,109,118,127
2022-09-19,138,148,157
2022-09-20,144,153,162
2022-09-21,145,154,164
2022-09-22,145,155,164
2022-09-23,144,153,162
2022-09-24,122,131,140
2022-09-25,112,121,130
2022-09-26,143,153,162
2022-09-27,147,156,166
2022-09-28,148,157,166
2022-09-29,150,159,168
2022-09-30,149,158,167
2022-10-01,127,136,145
2022-10-02,113,122,131
2022-10-03,142,151,161
2022-10-04,146,155,164
2022-10-05,146,155,164
2022-10-06,145,154,163
2022-10-07,143,152,161
2022-10-08,120,130,139
2022-10-09,111,120,129
2022-10-10,142,151,160
2022-10-11,144,154,163
2022-10-12,145,154,163
2022-10-13,145,154,163
2022-10-14,143,152,161
2022-10-15,121,130,140
2022-10-16,111,120,129
2022-10-17,142,151,161
2022-10-18,145,154,164
2022-10-19,145,155,164
2022-10-20,145,154,164
2022-10-21,143,152,161
2022-10-22,122,131,140
2022-10-23,112,121,130
2022-10-24,144,153,162
2022-10-25,148,157,166
2022-10-26,148,157,166
2022-10-27,148,157,166
2022-10-28,145,155,164
2022-10-29,124,133,142
2022-10-30,118,127,137
2022-10-31,144,153,162
2022-11-01,140,150,159
2022-11-02,148,158,167
2022-11-03,151,160,170
2022-11-04,151,160,170
2022-11-05,133,142,151
2022-11-06,125,134,144
2022-11-07,154,163,173
2022-11-08,158,167,176
2022-11-09,157,167,176
2022-11-10,155,165,174
2022-11-11,155,164,174
2022-11-12,136,145,154
2022-11-13,126,136,145
2022-11-14,158,167,176
2022-11-15,161,170,179
2022-11-16,159,169,178
2022-11-17,158,168,177
2022-11-18,158,167,176
2022-11-19,139,148,158
2022-11-20,131,140,149
2022-11-21,162,172,181
2022-11-22,167,176,185
2022-11-23,167,177,186
2022-11-24,168,177,186
2022-11-25,166,176,185
2022-11-26,145,155,164
2022-11-27,138,147,156
2022-11-28,168,177,187
2022-11-29,170,180,189
2022-11-30,171,181,190
2022-12-01,173,182,192
2022-12-02,173,182,191
2022-12-03,154,163,173
2022-12-04,144,153,163
2022-12-05,174,184,193
2022-12-06,178,187,197
2022-12-07,180,189,198
2022-12-08,175,185,194
2022-12-09,178,188,197
2022-12-10,158,168,177
2022-12-11,149,158,168
2022-12-12,184,193,202
2022-12-13,189,199,208
2022-12-14,186,195,205
2022-12-15,182,192,201
2022-12-16,179,189,198
2022-12-17,159,168,177
2022-12-18,148,158,167
2022-12-19,177,186,196
2022-12-20,176,186,195
2022-12-21,172,181,190
2022-12-22,166,175,184
2022-12-23,159,168,177
2022-12-24,129,139,148
2022-12-25,120,130,139
2022-12-26,115,124,134
2022-12-27,137,147,156
2022-12-28,142,151,161
2022-12-29,142,152,161
2022-12-30,141,151,160
2022-12-31,126,136,145
2023-01-01,114,124,133
2023-01-02,128,138,147
2023-01-03,150,160,169
2023-01-04,156,165,174
2023-01-05,155,164,174
2023-01-06,153,163,172
2023-01-07,135,144,153
2023-01-08,127,136,146
2023-01-09,162,171,181
2023-01-10,167,177,186
2023-01-11,169,178,188
2023-01-12,168,178,187
2023-01-13,165,175,184
2023-01-14,145,154,164
2023-01-15,134,143,153
2023-01-16,169,179,188
2023-01-17,176,185,195
2023-01-18,179,188,198
2023-01-19,181,191,200
2023-01-20,183,193,202
2023-01-21,165,174,184
2023-01-22,154,163,173
2023-01-23,183,193,202
2023-01-24,185,194,204
2023-01-25,184,193,203
2023-01-26,183,193,202
2023-01-27,181,191,200
2023-01-28,160,170,179
2023-01-29,149,159,168
2023-01-30,180,189,199
2023-01-31,181,190,200
2023-02-01,180,189,199
2023-02-02,176,186,195
2023-02-03,172,181,191
2023-02-04,149,159,168
2023-02-05,140,149,159
2023-02-06,172,182,191
2023-02-07,176,185,195
2023-02-08,180,189,199
2023-02-09,180,189,199
2023-02-10,178,187,197
2023-02-11,156,166,175
2023-02-12,143,153,162
2023-02-13,173,182,192
2023-02-14,175,185,194
2023-02-15,174,184,193
2023-02-16,171,181,191
2023-02-17,166,176,186
2023-02-18,140,150,159
2023-02-19,129,139,148
2023-02-20,158,168,178
2023-02-21,162,171,181
2023-02-22,163,173,183
2023-02-23,161,171,181
2023-02-24,159,169,178
2023-02-25,139,149,158
2023-02-26,135,144,154
2023-02-27,171,181,190
2023-02-28,176,186,196
2023-03-01,177,187,197
2023-03-02,175,185,195
2023-03-03,172,182,192
2023-03-04,148,158,167
2023-03-05,138,147,157
2023-03-06,170,180,190
2023-03-07,172,181,191
2023-03-08,170,180,190
2023-03-09,162,172,181
2023-03-10,159,169,179
2023-03-11,141,151,161
2023-03-12,130,140,150
2023-03-13,156,166,176
2023-03-14,159,169,179
2023-03-15,161,171,180
2023-03-16,162,172,182
2023-03-17,159,169,179
2023-03-18,135,145,154
2023-03-19,124,134,143
2023-03-20,154,164,173
2023-03-21,157,166,176
2023-03-22,154,164,174
2023-03-23,153,163,173
2023-03-24,150,160,170
2023-03-25,130,140,150
2023-03-26,117,127,136
2023-03-27,155,165,175
2023-03-28,160,170,180
2023-03-29,159,169,179
2023-03-30,154,164,174
2023-03-31,150,160,170
2023-04-01,130,140,150
2023-04-02,120,130,140
2023-04-03,153,163,172
2023-04-04,157,167,177
2023-04-05,156,165,175
2023-04-06,156,166,176
2023-04-07,126,136,146
2023-04-08,129,139,149
2023-04-09,115,125,135
2023-04-10,120,130,140
2023-04-11,146,156,166
2023-04-12,146,156,166
2023-04-13,150,160,170
2023-04-14,149,159,169
2023-04-15,130,140,150
2023-04-16,120,130,140
2023-04-17,149,159,169
2023-04-18,150,160,170
2023-04-19,150,160,170
2023-04-20,152,162,172
2023-04-21,151,161,171
2023-04-22,126,136,146
2023-04-23,112,122,133
2023-04-24,144,154,164
2023-04-25,148,158,169
2023-04-26,149,159,169
2023-04-27,146,156,166
2023-04-28,142,152,162
2023-04-29,118,128,138
2023-04-30,106,117,127
2023-05-01,129,139,149
2023-05-02,141,151,161
2023-05-03,142,152,162
2023-05-04,141,151,161
2023-05-05,138,148,158
2023-05-06,116,127,137
2023-05-07,105,115,125
2023-05-08,137,147,157
2023-05-09,140,150,160
2023-05-10,140,150,161
2023-05-11,142,152,162
2023-05-12,140,150,160
2023-05-13,119,129,139
2023-05-14,108,118,129
2023-05-15,139,149,159
2023-05-16,142,152,162
2023-05-17,139,149,159
2023-05-18,115,125,135
2023-05-19,136,146,157
2023-05-20,118,128,139
2023-05-21,106,117,127
2023-05-22,136,147,157
2023-05-23,139,149,159
2023-05-24,138,149,159
2023-05-25,138,149,159
2023-05-26,137,147,158
2023-05-27,114,125,135
2023-05-28,100,110,121
2023-05-29,106,117,127
2023-05-30,134,145,155
2023-05-31,138,149,159
2023-06-01,139,149,160
2023-06-02,137,147,158
2023-06-03,116,126,137
