,Datum,Landesverbrauch_GWh,Endverbrauch_GWh
0,2021-12-22,210,196
1,2021-12-23,200,183
2,2021-12-24,205,165
3,2021-12-25,192,148
4,2021-12-26,192,145
5,2021-12-27,186,161
6,2021-12-28,185,159
7,2021-12-29,183,158
8,2021-12-30,178,150
9,2021-12-31,177,148
10,2022-01-01,174,140
11,2022-01-02,174,142
12,2022-01-03,187,164
13,2022-01-04,189,166
14,2022-01-05,204,182
15,2022-01-06,204,187
16,2022-01-07,210,191
17,2022-01-08,193,169
18,2022-01-09,198,160
19,2022-01-10,218,192
20,2022-01-11,221,197
21,2022-01-12,225,201
22,2022-01-13,225,203
23,2022-01-14,216,199
24,2022-01-15,195,177
25,2022-01-16,193,166
26,2022-01-17,209,192
27,2022-01-18,215,196
28,2022-01-19,215,196
29,2022-01-20,218,198
30,2022-01-21,218,198
31,2022-01-22,198,176
32,2022-01-23,196,166
33,2022-01-24,213,195
34,2022-01-25,211,196
35,2022-01-26,212,198
36,2022-01-27,212,198
37,2022-01-28,209,192
38,2022-01-29,193,168
39,2022-01-30,188,156
40,2022-01-31,214,193
41,2022-02-01,222,197
42,2022-02-02,217,191
43,2022-02-03,211,187
44,2022-02-04,204,186
45,2022-02-05,191,165
46,2022-02-06,189,159
47,2022-02-07,211,187
48,2022-02-08,214,189
49,2022-02-09,209,188
50,2022-02-10,205,183
51,2022-02-11,202,185
52,2022-02-12,193,169
53,2022-02-13,192,157
54,2022-02-14,210,187
55,2022-02-15,207,189
56,2022-02-16,210,190
57,2022-02-17,207,179
58,2022-02-18,197,176
59,2022-02-19,187,160
60,2022-02-20,183,148
61,2022-02-21,209,183
62,2022-02-22,202,182
63,2022-02-23,199,178
64,2022-02-24,200,179
65,2022-02-25,194,181
66,2022-02-26,188,163
67,2022-02-27,190,156
68,2022-02-28,200,182
69,2022-03-01,197,184
70,2022-03-02,193,183
71,2022-03-03,186,176
72,2022-03-04,190,179
73,2022-03-05,176,163
74,2022-03-06,182,155
75,2022-03-07,198,183
76,2022-03-08,201,186
77,2022-03-09,202,183
78,2022-03-10,194,179
79,2022-03-11,191,176
80,2022-03-12,175,153
81,2022-03-13,171,143
82,2022-03-14,188,168
83,2022-03-15,193,176
84,2022-03-16,185,171
85,2022-03-17,184,169
86,2022-03-18,190,173
87,2022-03-19,177,150
88,2022-03-20,173,139
89,2022-03-21,192,167
90,2022-03-22,194,169
91,2022-03-23,188,168
92,2022-03-24,180,164
93,2022-03-25,178,162
94,2022-03-26,167,140
95,2022-03-27,163,129
96,2022-03-28,182,158
97,2022-03-29,174,161
98,2022-03-30,180,166
99,2022-03-31,187,171
100,2022-04-01,197,183
101,2022-04-02,182,167
102,2022-04-03,180,157
103,2022-04-04,190,177
104,2022-04-05,191,174
105,2022-04-06,189,166
106,2022-04-07,193,170
107,2022-04-08,184,169
108,2022-04-09,173,151
109,2022-04-10,165,139
110,2022-04-11,193,162
111,2022-04-12,177,157
112,2022-04-13,167,153
113,2022-04-14,163,145
114,2022-04-15,143,119
115,2022-04-16,161,122
116,2022-04-17,158,116
117,2022-04-18,149,121
118,2022-04-19,165,147
119,2022-04-20,164,151
120,2022-04-21,163,151
121,2022-04-22,165,150
122,2022-04-23,163,133
123,2022-04-24,161,129
124,2022-04-25,177,159
125,2022-04-26,176,160
126,2022-04-27,176,155
127,2022-04-28,172,153
128,2022-04-29,168,150
129,2022-04-30,163,133
130,2022-05-01,155,123
131,2022-05-02,170,149
132,2022-05-03,167,153
133,2022-05-04,165,154
134,2022-05-05,170,160
135,2022-05-06,169,159
136,2022-05-07,151,131
137,2022-05-08,158,121
138,2022-05-09,163,148
139,2022-05-10,161,146
140,2022-05-11,169,146
141,2022-05-12,167,147
142,2022-05-13,168,147
143,2022-05-14,162,122
144,2022-05-15,160,113
145,2022-05-16,165,145
146,2022-05-17,161,145
147,2022-05-18,164,145
148,2022-05-19,164,147
149,2022-05-20,165,146
150,2022-05-21,159,124
151,2022-05-22,154,116
152,2022-05-23,170,148
153,2022-05-24,168,150
154,2022-05-25,170,143
155,2022-05-26,153,116
156,2022-05-27,160,127
157,2022-05-27,159,127
158,2022-05-28,154,119
159,2022-05-29,161,114
160,2022-05-30,154,142
161,2022-05-31,163,147
162,2022-06-01,162,148
163,2022-06-02,169,146
164,2022-06-03,167,146
165,2022-06-04,163,122
166,2022-06-05,167,115
167,2022-06-06,166,117
168,2022-06-07,177,145
169,2022-06-08,168,145
170,2022-06-09,172,147
171,2022-06-10,167,142
172,2022-06-11,158,121
173,2022-06-12,169,114
174,2022-06-13,166,144
175,2022-06-14,162,145
176,2022-06-15,163,147
177,2022-06-16,154,142
178,2022-06-17,158,142
179,2022-06-18,154,125
180,2022-06-19,160,118
181,2022-06-20,171,148
182,2022-06-21,171,151
183,2022-06-22,172,151
184,2022-06-23,169,145
185,2022-06-24,171,146
186,2022-06-25,173,120
187,2022-06-26,161,114
188,2022-06-27,167,146
189,2022-06-28,167,147
190,2022-06-29,165,144
191,2022-06-30,165,146
192,2022-07-01,169,145
193,2022-07-02,174,119
194,2022-07-03,171,113
195,2022-07-04,167,146
196,2022-07-05,164,144
197,2022-07-05,165,144
198,2022-07-06,161,142
199,2022-07-07,160,143
200,2022-07-08,164,139
201,2022-07-09,161,119
202,2022-07-10,163,111
203,2022-07-11,159,138
204,2022-07-11,160,138
205,2022-07-12,156,140
206,2022-07-12,157,140
207,2022-07-12,157,141
208,2022-07-13,156,142
209,2022-07-14,163,145
210,2022-07-15,159,140
211,2022-07-15,159,141
212,2022-07-16,161,118
213,2022-07-17,165,111
214,2022-07-18,160,138
215,2022-07-18,159,138
216,2022-07-19,159,142
217,2022-07-20,159,145
218,2022-07-21,160,141
219,2022-07-22,155,137
220,2022-07-23,156,120
221,2022-07-24,158,109
222,2022-07-25,152,135
223,2022-07-26,148,134
224,2022-07-26,148,133
225,2022-07-27,153,131
226,2022-07-28,151,131
227,2022-07-29,151,132
228,2022-07-30,153,113
229,2022-07-31,158,104
230,2022-08-01,130,108
231,2022-08-01,131,108
232,2022-08-02,146,129
233,2022-08-03,148,132
234,2022-08-04,151,135
235,2022-08-05,152,135
236,2022-08-06,168,117
237,2022-08-07,162,108
238,2022-08-08,161,131
