,Datum,Landesverbrauch_geschaetzt_SG_GWh
0,2023-07-01,185
1,2023-07-02,180
2,2023-07-03,194
3,2023-07-04,174
4,2023-07-05,185
5,2023-07-06,169
6,2023-07-07,178
7,2023-07-08,163
8,2023-07-09,152
9,2023-07-10,166
10,2023-07-11,173
11,2023-07-12,179
12,2023-07-13,179
13,2023-07-14,175
14,2023-07-15,183
15,2023-07-16,172
16,2023-07-17,170
17,2023-07-18,166
18,2023-07-19,164
19,2023-07-20,167
20,2023-07-21,157
21,2023-07-22,160
22,2023-07-23,175
23,2023-07-24,163
24,2023-07-25,161
25,2023-07-26,167
26,2023-07-27,155
27,2023-07-28,152
28,2023-07-29,145
29,2023-07-30,167
30,2023-07-31,159
31,2023-08-01,123
32,2023-08-02,167
33,2023-08-03,157
34,2023-08-04,154
35,2023-08-05,153
36,2023-08-06,159
37,2023-08-07,166
38,2023-08-08,163
39,2023-08-09,159
40,2023-08-10,159
41,2023-08-11,159
42,2023-08-12,157
43,2023-08-13,162
44,2023-08-14,170
45,2023-08-15,158
46,2023-08-16,162
47,2023-08-17,161
48,2023-08-18,160
49,2023-08-19,156
50,2023-08-20,163
51,2023-08-21,170
52,2023-08-22,167
53,2023-08-23,163
54,2023-08-24,163
55,2023-08-25,162
56,2023-08-26,158
57,2023-08-27,165
58,2023-08-28,173
59,2023-08-29,170
60,2023-08-30,166
61,2023-08-31,166
62,2023-09-01,164
63,2023-09-02,156
64,2023-09-03,161
65,2023-09-04,169
66,2023-09-05,173
67,2023-09-06,174
68,2023-09-07,177
69,2023-09-08,173
70,2023-09-09,159
71,2023-09-10,169
72,2023-09-11,177
73,2023-09-12,176
74,2023-09-13,176
75,2023-09-14,180
76,2023-09-15,176
77,2023-09-16,161
78,2023-09-17,169
79,2023-09-18,179
80,2023-09-19,178
81,2023-09-20,179
82,2023-09-21,182
83,2023-09-22,178
84,2023-09-23,163
85,2023-09-24,172
86,2023-09-25,181
87,2023-09-26,180
88,2023-09-27,180
89,2023-09-28,183
90,2023-09-29,179
91,2023-09-30,165
92,2023-10-01,180
93,2023-10-02,189
94,2023-10-03,185
95,2023-10-04,186
96,2023-10-05,183
97,2023-10-06,180
98,2023-10-07,173
99,2023-10-08,176
100,2023-10-09,191
101,2023-10-10,188
102,2023-10-11,189
103,2023-10-12,186
104,2023-10-13,183
105,2023-10-14,176
106,2023-10-15,179
107,2023-10-16,194
108,2023-10-17,191
109,2023-10-18,192
110,2023-10-19,189
111,2023-10-20,186
112,2023-10-21,179
113,2023-10-22,183
114,2023-10-23,198
115,2023-10-24,194
116,2023-10-25,195
117,2023-10-26,192
118,2023-10-27,189
119,2023-10-28,182
120,2023-10-29,186
121,2023-10-30,198
122,2023-10-31,200
123,2023-11-01,182
124,2023-11-02,195
