election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_4,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Binkert,Evi,1006,False,ALG,#a74c97,female,1960,544,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Egger,Ivo,1002,True,ALG,#a74c97,male,1984,1590,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Erni,Florian,1005,False,ALG,#a74c97,male,1987,977,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Glarner-Polyakova,Mariana,1004,False,ALG,#a74c97,female,1968,857,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Hanke,Vivienne,1010,False,ALG,#a74c97,female,1999,508,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Lustenberger,Andreas,1001,True,ALG,#a74c97,male,1986,2318,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Moczko,Anja,1007,False,ALG,#a74c97,female,1994,602,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Raud,Malena,1003,False,ALG,#a74c97,female,2001,1133,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Uster,Simon,1008,False,ALG,#a74c97,male,1998,795,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,ALG,1,#a74c97,2,10283,,,Yener,Gurbetelli,1009,False,ALG,#a74c97,female,1998,574,,528,134,192,327,648,88,1592
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Abramovic,Ivan,3004,False,Die Mitte,#ff6300,male,1992,1006,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Andermatt,Pirmin,3001,True,Die Mitte,#ff6300,male,1966,2360,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Arnold-Herrmann,Mirjam,3002,True,Die Mitte,#ff6300,female,1988,1658,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Berner,Simon,3015,False,Die Mitte,#ff6300,male,1986,695,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Bühlmann,Janine,3005,False,Die Mitte,#ff6300,female,1997,1019,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Gwerder,Thomas,3006,False,Die Mitte,#ff6300,male,1971,1612,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Hettinger,Alain,3007,False,Die Mitte,#ff6300,male,1979,814,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Hotz,Vital,3008,False,Die Mitte,#ff6300,male,1975,1179,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Imbach,Thomas,3009,False,Die Mitte,#ff6300,male,1973,775,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Knüsel,Christine,3010,False,Die Mitte,#ff6300,female,1983,952,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Müller,Roman,3011,False,Die Mitte,#ff6300,male,1974,1514,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Pernollet,Yann,3012,False,Die Mitte,#ff6300,male,1995,718,293,,139,1202,447,265,1048,2548
Kantonsratswahl 2022 Gde Baar,,,,2022-10-02,municipality,proporz,15,,final,,,Baar,1701,True,14332,,6001,16,156,172,5829,4249,0,83186,Die Mitte,3,#ff6300,3,19194,,,Pfyl-Döbeli,Sara,3013,False,Die Mitte,#ff6300,female,1974,1182,293,,139,1202,447,265,1048,2548
