election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,ALG,1,#a74c97,0,474,,,Aepli,Marianne,1001,False,ALG,#a74c97,female,1966,345,,26,9,20,3,5,40
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,ALG,1,#a74c97,0,474,,,Staub,Hedy,1002,False,ALG,#a74c97,female,1954,126,,26,9,20,3,5,40
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,Die Mitte,3,#ff6300,1,1177,,,Amgwerd,Marcel,3003,False,Die Mitte,#ff6300,male,1977,373,23,,47,19,7,131,185
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,Die Mitte,3,#ff6300,1,1177,,,Leuenberger,Simon,3001,True,Die Mitte,#ff6300,male,1998,463,23,,47,19,7,131,185
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,Die Mitte,3,#ff6300,1,1177,,,Wehrli,Catherine,3002,False,Die Mitte,#ff6300,female,1968,320,23,,47,19,7,131,185
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,FDP,5,#4068c8,1,943,,,Magnusson,Tom,5001,True,FDP,#4068c8,male,1973,741,17,106,,21,1,109,116
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,FDP,5,#4068c8,1,943,,,Schmid,Jürg,5002,False,FDP,#4068c8,male,1956,188,17,106,,21,1,109,116
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,GLP,6,#aeca00,0,239,,,Tanner,Daniel,6001,False,GLP,#aeca00,male,1998,120,15,12,14,,4,5,46
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,GLP,6,#aeca00,0,239,,,Zgraggen,Patrick,6002,False,GLP,#aeca00,male,1970,117,15,12,14,,4,5,46
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,SP,7,#db3c27,0,161,,,Leiser,Arlette,7003,False,SP,#db3c27,female,1967,48,10,5,3,3,,4,30
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,SP,7,#db3c27,0,161,,,Schiltsky,Heiko,7002,False,SP,#db3c27,male,1982,35,10,5,3,3,,4,30
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,SP,7,#db3c27,0,161,,,Wolleb,Tanja,7001,False,SP,#db3c27,female,1976,75,10,5,3,3,,4,30
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,SVP,8,#3f841a,1,1581,,,Nussbaumer,Karl,8001,True,SVP,#3f841a,male,1964,1171,2,106,53,4,5,,144
Kantonsratswahl 2022 Gde Menzingen,,,,2022-10-02,municipality,proporz,3,,final,,,Menzingen,1704,True,3028,,1583,0,43,43,1540,45,0,4575,SVP,8,#3f841a,1,1581,,,Scheiber,Roman,8002,False,SVP,#3f841a,male,1976,396,2,106,53,4,5,,144
