election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,ALG,1,#a74c97,1,2884,,,Jans,Katharina,1003,False,ALG,#a74c97,female,1992,979,,204,70,85,55,30,436
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,ALG,1,#a74c97,1,2884,,,Odermatt,Anastas,1001,True,ALG,#a74c97,male,1985,1171,,204,70,85,55,30,436
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,ALG,1,#a74c97,1,2884,,,Wattenhofer,Beni,1002,False,ALG,#a74c97,male,1984,688,,204,70,85,55,30,436
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,Die Mitte,3,#ff6300,2,4498,,,Hausheer,Andreas,3001,True,Die Mitte,#ff6300,male,1973,1543,128,,251,82,19,175,790
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,Die Mitte,3,#ff6300,2,4498,,,Hausheer,Martin,3004,False,Die Mitte,#ff6300,male,1971,716,128,,251,82,19,175,790
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,Die Mitte,3,#ff6300,2,4498,,,Meierhans,Thomas,3002,True,Die Mitte,#ff6300,male,1963,1555,128,,251,82,19,175,790
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,Die Mitte,3,#ff6300,2,4498,,,Wyss,Giulia,3003,False,Die Mitte,#ff6300,female,2003,535,128,,251,82,19,175,790
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,FDP,5,#4068c8,2,3511,,,Annen,Simon,5004,False,FDP,#4068c8,male,1979,397,83,344,,85,13,164,614
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,FDP,5,#4068c8,2,3511,,,Brüngger,Carina,5001,True,FDP,#4068c8,female,1965,1085,83,344,,85,13,164,614
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,FDP,5,#4068c8,2,3511,,,Keller,Thomas,5006,False,FDP,#4068c8,male,1976,335,83,344,,85,13,164,614
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,FDP,5,#4068c8,2,3511,,,Reinschmidt,Mario,5002,True,FDP,#4068c8,male,1961,705,83,344,,85,13,164,614
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,FDP,5,#4068c8,2,3511,,,Schorta,Reto,5005,False,FDP,#4068c8,male,1981,412,83,344,,85,13,164,614
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,FDP,5,#4068c8,2,3511,,,von Wartburg,Urs,5003,False,FDP,#4068c8,male,1964,439,83,344,,85,13,164,614
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,GLP,6,#aeca00,0,1027,,,Durrer,Rafael,6003,False,GLP,#aeca00,male,2003,192,62,71,44,,15,15,197
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,GLP,6,#aeca00,0,1027,,,Durrer,Stefanie,6002,False,GLP,#aeca00,female,2000,261,62,71,44,,15,15,197
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,GLP,6,#aeca00,0,1027,,,Hux,Simon,6001,False,GLP,#aeca00,male,1994,539,62,71,44,,15,15,197
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,SP,7,#db3c27,0,696,,,Filipovic,Olivera,7002,False,SP,#db3c27,female,1981,284,66,27,13,14,,5,146
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,SP,7,#db3c27,0,696,,,Freudenthaler,Levin,7003,False,SP,#db3c27,male,2003,169,66,27,13,14,,5,146
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,SP,7,#db3c27,0,696,,,Schläppi,Thomas,7001,False,SP,#db3c27,male,2004,199,66,27,13,14,,5,146
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,SVP,8,#3f841a,1,2308,,,Bundi,Livio,8002,False,SVP,#3f841a,male,1983,729,15,117,78,5,1,,261
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,SVP,8,#3f841a,1,2308,,,Casillo,Nico,8003,False,SVP,#3f841a,male,1998,664,15,117,78,5,1,,261
Kantonsratswahl 2022 Gde Steinhausen,,,,2022-10-02,municipality,proporz,6,,final,,,Steinhausen,1708,True,6217,,2679,17,110,127,2552,388,0,14924,SVP,8,#3f841a,1,2308,,,Reichmuth,Marc,8001,True,SVP,#3f841a,male,1982,859,15,117,78,5,1,,261
