election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_3,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,ALG,1,#a74c97,0,1160,,,Durisch,Antonia Martina,1004,False,ALG,#a74c97,female,1996,194,,48,24,38,74,21,273
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,ALG,1,#a74c97,0,1160,,,Gubser,Fabian,1003,False,ALG,#a74c97,male,1994,199,,48,24,38,74,21,273
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,ALG,1,#a74c97,0,1160,,,Gubser,Trix,1001,False,ALG,#a74c97,female,1964,413,,48,24,38,74,21,273
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,ALG,1,#a74c97,0,1160,,,Ryser,Beat,1002,False,ALG,#a74c97,male,1963,340,,48,24,38,74,21,273
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,Die Mitte,3,#ff6300,1,3474,,,Buzzi,Mattias,3001,False,Die Mitte,#ff6300,male,1966,622,16,,196,80,57,194,591
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,Die Mitte,3,#ff6300,1,3474,,,Iten,Fabio,3002,True,Die Mitte,#ff6300,male,1991,1386,16,,196,80,57,194,591
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,Die Mitte,3,#ff6300,1,3474,,,Müller,Michèlle,3003,False,Die Mitte,#ff6300,female,2002,754,16,,196,80,57,194,591
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,Die Mitte,3,#ff6300,1,3474,,,Schelbert-Arnold,Esther,3004,False,Die Mitte,#ff6300,female,1969,501,16,,196,80,57,194,591
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,FDP,5,#4068c8,1,3724,,,Arnold,Jost,5001,True,FDP,#4068c8,male,1981,1489,10,244,,59,42,291,615
Kantonsratswahl 2022 Gde Unterägeri,,,,2022-10-02,municipality,proporz,6,,final,,,Unterägeri,1709,True,5622,,2783,3,5,8,2775,419,0,16231,FDP,5,#4068c8,1,3724,,,Biermann,Colin,5003,False,FDP,#4068c8,male,1997,1102,10,244,,59,42,291,615
