election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,list_name,list_id,list_color,list_number_of_mandates,list_votes,list_connection,list_connection_parent,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes,list_panachage_votes_from_list_1,list_panachage_votes_from_list_2,list_panachage_votes_from_list_3,list_panachage_votes_from_list_4,list_panachage_votes_from_list_5,list_panachage_votes_from_list_6,list_panachage_votes_from_list_7,list_panachage_votes_from_list_8,list_panachage_votes_from_list_999
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Carlen,Magdalena,1011,False,ALG,#a74c97,female,1971,1098,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Cudicio,Oria,1009,False,ALG,#a74c97,female,1978,1020,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Fässler,Michael,1005,False,ALG,#a74c97,male,1980,1887,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Franzini,Luzian,1002,True,ALG,#a74c97,male,1996,2425,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Hahin,Tekla,1012,False,ALG,#a74c97,female,1957,886,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Hartmann,Florence,1010,False,ALG,#a74c97,female,1991,1088,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Huber,Barbara,1014,False,ALG,#a74c97,female,1963,1039,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Küng,Julia,1006,False,ALG,#a74c97,female,2001,1337,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Lemaitre,Nicolas,1008,False,ALG,#a74c97,male,1979,984,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Meier,Delia,1007,False,ALG,#a74c97,female,2001,1157,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Straub-Müller,Vroni,1001,True,ALG,#a74c97,female,1963,3541,,234,663,202,330,426,923,105,1989
Kantonsratswahl 2022 Stadt Zug,,,,2022-10-02,municipality,proporz,19,,final,,,Zug,1711,True,16716,,7414,27,122,149,7265,3942,0,134093,ALG,1,#a74c97,4,24661,,,Vuichard,Stéphanie,1003,True,ALG,#a74c97,female,1989,2571,,234,663,202,330,426,923,105,1989
