election_title_de_CH,election_title_fr_CH,election_title_it_CH,election_title_rm_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_superregion,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_expats,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_party_color,candidate_gender,candidate_year_of_birth,candidate_votes
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Dittli,Laura,7,True,Die Mitte Kanton Zug,#ff6300,female,1991,3678
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Estermann,Tabea,8,False,GLP – Grünliberale Partei,#aeca00,female,1993,2147
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Hadodo,Adi,9,False,aufrecht-zug,#80002a,male,1968,634
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Hostettler,Andreas,1,True,FDP,#4068c8,male,1968,3885
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Pfister,Martin,2,True,Die Mitte Kanton Zug,#ff6300,male,1963,4176
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Schleiss,Stephan,3,True,SVP Schweizerische Volkspartei,#3f841a,male,1972,3243
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Tännler,Heinz,4,True,SVP Schweizerische Volkspartei,#3f841a,male,1960,3396
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Thalmann-Gut,Silvia,5,True,Die Mitte Kanton Zug,#ff6300,female,1961,3651
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Weber,Florian,6,True,FDP,#4068c8,male,1981,3703
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Baar,1701,True,14332,,6119,20,12,32,6087,11886,38,30685,Zimmermann Gibson,Tabea,10,False,Alternative – die Grünen und ökologisch-soziales Bündnis,#a74c97,female,1970,2172
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Cham,1702,True,10186,,4028,32,0,32,3996,7876,34,20062,Dittli,Laura,7,True,Die Mitte Kanton Zug,#ff6300,female,1991,2517
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Cham,1702,True,10186,,4028,32,0,32,3996,7876,34,20062,Estermann,Tabea,8,False,GLP – Grünliberale Partei,#aeca00,female,1993,1519
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Cham,1702,True,10186,,4028,32,0,32,3996,7876,34,20062,Hadodo,Adi,9,False,aufrecht-zug,#80002a,male,1968,482
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Cham,1702,True,10186,,4028,32,0,32,3996,7876,34,20062,Hostettler,Andreas,1,True,FDP,#4068c8,male,1968,2390
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Cham,1702,True,10186,,4028,32,0,32,3996,7876,34,20062,Pfister,Martin,2,True,Die Mitte Kanton Zug,#ff6300,male,1963,2431
Regierungsratswahl 2022,,,,2022-10-02,canton,majorz,7,12055,final,,,Cham,1702,True,10186,,4028,32,0,32,3996,7876,34,20062,Schleiss,Stephan,3,True,SVP Schweizerische Volkspartei,#3f841a,male,1972,2126
